,Home Team,Away Team,Day,Matchweek,Competition,Season,Home Odds,Deuce Odds,Away Odds,Home Coach,Away Coach,lrc,lrc_proba_a,lrc_proba_d,lrc_proba_h,lrc_odds_a,lrc_odds_d,lrc_odds_h,rfc,rfc_proba_a,rfc_proba_d,rfc_proba_h,rfc_odds_a,rfc_odds_d,rfc_odds_h,mlp,mlp_proba_a,mlp_proba_d,mlp_proba_h,mlp_odds_a,mlp_odds_d,mlp_odds_h,knc,knc_proba_a,knc_proba_d,knc_proba_h,knc_odds_a,knc_odds_d,knc_odds_h
28,FC Lorient,Racing Strasbourg,SU,29.0,Ligue 1,2021-2022,3.4,3.3,2.2,Christophe Pélissier,Julien Stéphan,A,0.39,0.34,0.27,2.56,2.94,3.7,A,0.4,0.26,0.35,2.5,3.85,2.86,A,0.46,0.28,0.26,2.17,3.57,3.85,A,0.36,0.34,0.3,2.78,2.94,3.33
29,FC Empoli,Hellas Verona,SU,30.0,Serie A,2021-2022,2.62,3.5,2.54,Aurelio Andreazzoli,Igor Tudor,A,0.41,0.23,0.36,2.44,4.35,2.78,A,0.38,0.29,0.33,2.63,3.45,3.03,A,0.39,0.28,0.33,2.56,3.57,3.03,H,0.32,0.28,0.4,3.12,3.57,2.5
30,SCO Angers,Stade Brest,SU,29.0,Ligue 1,2021-2022,2.15,3.2,3.6,Gérald Baticle,Michel Der Zakarian,H,0.24,0.29,0.47,4.17,3.45,2.13,H,0.26,0.28,0.46,3.85,3.57,2.17,H,0.23,0.27,0.5,4.35,3.7,2.0,H,0.24,0.25,0.51,4.17,4.0,1.96
31,Girondins Bordeaux,HSC Montpellier,SU,29.0,Ligue 1,2021-2022,2.45,3.5,2.8,David Guion,Olivier Dall'Oglio,A,0.4,0.31,0.29,2.5,3.23,3.45,A,0.34,0.33,0.33,2.94,3.03,3.03,A,0.4,0.29,0.31,2.5,3.45,3.23,A,0.38,0.27,0.36,2.63,3.7,2.78
32,Rasenballsport Leipzig,Eintracht Frankfurt,SU,27.0,Bundesliga,2021-2022,1.44,4.5,7.5,Domenico Tedesco,Oliver Glasner,H,0.19,0.26,0.55,5.26,3.85,1.82,H,0.17,0.22,0.61,5.88,4.55,1.64,H,0.18,0.25,0.57,5.56,4.0,1.75,H,0.22,0.2,0.58,4.55,5.0,1.72
33,FC Cádiz,Villarreal CF,SU,29.0,La Liga,2021-2022,4.75,3.5,1.83,Sergio,Unai Emery,A,0.45,0.3,0.24,2.22,3.33,4.17,A,0.45,0.26,0.29,2.22,3.85,3.45,A,0.52,0.26,0.21,1.92,3.85,4.76,A,0.44,0.25,0.31,2.27,4.0,3.23
34,Celta de Vigo,Betis Sevilla,SU,29.0,La Liga,2021-2022,2.25,3.5,3.1,Eduardo Coudet,Manuel Pellegrini,H,0.3,0.26,0.44,3.33,3.85,2.27,H,0.27,0.3,0.42,3.7,3.33,2.38,H,0.29,0.28,0.43,3.45,3.57,2.33,H,0.32,0.26,0.42,3.12,3.85,2.38
35,Tottenham Hotspur,West Ham United,SU,30.0,Premier League,2021-2022,1.72,3.8,4.75,Antonio Conte,David Moyes,H,0.21,0.3,0.49,4.76,3.33,2.04,H,0.17,0.21,0.62,5.88,4.76,1.61,H,0.22,0.26,0.51,4.55,3.85,1.96,H,0.21,0.26,0.53,4.76,3.85,1.89
36,Stade Reims,Olympique Lyon,SU,29.0,Ligue 1,2021-2022,4.33,3.6,1.83,Óscar,Peter Bosz,A,0.55,0.26,0.19,1.82,3.85,5.26,A,0.49,0.26,0.25,2.04,3.85,4.0,A,0.54,0.26,0.2,1.85,3.85,5.0,A,0.5,0.24,0.26,2.0,4.17,3.85
37,VfL Wolfsburg,Bayer 04 Leverkusen,SU,27.0,Bundesliga,2021-2022,3.0,3.4,2.29,Florian Kohfeldt,Gerardo Seoane,A,0.49,0.25,0.26,2.04,4.0,3.85,A,0.42,0.28,0.29,2.38,3.57,3.45,A,0.54,0.27,0.19,1.85,3.7,5.26,A,0.42,0.27,0.31,2.38,3.7,3.23
38,AS Rom,Lazio Rom,SU,30.0,Serie A,2021-2022,2.54,3.4,2.75,José Mourinho,Maurizio Sarri,H,0.37,0.25,0.38,2.7,4.0,2.63,A,0.4,0.26,0.34,2.5,3.85,2.94,A,0.36,0.28,0.35,2.78,3.57,2.86,H,0.36,0.24,0.4,2.78,4.17,2.5
39,FC Sevilla,Real Sociedad San Sebastián,SU,29.0,La Liga,2021-2022,2.04,3.25,3.8,Lopetegui,Imanol,H,0.25,0.28,0.47,4.0,3.57,2.13,H,0.25,0.25,0.5,4.0,4.0,2.0,H,0.25,0.27,0.47,4.0,3.7,2.13,H,0.24,0.27,0.49,4.17,3.7,2.04
40,1. FC Köln,Borussia Dortmund,SU,27.0,Bundesliga,2021-2022,3.5,3.75,2.0,Steffen Baumgart,Marco Rose,A,0.42,0.26,0.31,2.38,3.85,3.23,A,0.54,0.25,0.21,1.85,4.0,4.76,A,0.42,0.29,0.29,2.38,3.45,3.45,A,0.44,0.26,0.3,2.27,3.85,3.33
41,FC Bologna,Atalanta Bergamo,SU,30.0,Serie A,2021-2022,4.33,3.6,1.83,Siniša Mihajlović,Gian Piero Gasperini,A,0.47,0.32,0.21,2.13,3.12,4.76,A,0.49,0.3,0.22,2.04,3.33,4.55,A,0.52,0.28,0.19,1.92,3.57,5.26,A,0.44,0.29,0.27,2.27,3.45,3.7
42,Olympique Marseille,OGC Nizza,SU,29.0,Ligue 1,2021-2022,2.15,3.3,3.5,Jorge Sampaoli,Christophe Galtier,H,0.21,0.26,0.53,4.76,3.85,1.89,H,0.2,0.27,0.53,5.0,3.7,1.89,H,0.19,0.25,0.56,5.26,4.0,1.79,H,0.2,0.2,0.61,5.0,5.0,1.64
43,Real Madrid,FC Barcelona,SU,29.0,La Liga,2021-2022,2.04,3.75,3.4,Carlo Ancelotti,Xavi,H,0.3,0.23,0.47,3.33,4.35,2.13,H,0.38,0.23,0.39,2.63,4.35,2.56,H,0.27,0.29,0.45,3.7,3.45,2.22,A,0.4,0.23,0.37,2.5,4.35,2.7
