,club_name,season,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_contract_valid_until,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
246,FCO Dijon,2019-2020,70.0,74.69,2525000.0,8250.0,26.25,180.06,73.5,2020.94,1.0,63.73,53.47,58.33,64.73,56.6,65.2,52.4,50.73,57.13,65.4,46.0,62.53,53.73,43.07,58.2,67.67,65.0,62.47,63.67,68.73,65.2,61.13,61.2,66.33,64.6,53.47,66.67,58.2,57.27,56.93,52.0,64.8,55.2,56.87,55.2,71,68,72,70,71,46.0
247,FCO Dijon,2020-2021,71.38,76.5,3818750.0,11250.0,24.94,181.0,73.12,2022.31,1.06,70.0,58.8,64.4,69.0,55.47,67.07,62.27,56.6,56.73,68.87,49.6,69.2,59.73,49.07,63.07,69.53,70.93,69.4,67.0,67.93,66.07,66.67,64.47,72.33,65.33,58.33,65.6,55.6,63.13,64.8,54.2,67.0,53.07,58.07,53.47,77,77,70,75,75,42.0
248,Fortuna Düsseldorf,2018-2019,72.25,76.56,4256250.0,18750.0,24.69,183.06,77.5,2020.56,1.06,71.07,62.2,64.47,70.27,48.27,67.4,64.07,59.53,57.87,68.53,56.33,69.53,62.73,54.93,60.87,71.6,72.13,70.13,71.4,69.13,70.0,70.73,68.87,72.13,66.73,63.87,62.8,47.2,64.07,62.8,51.87,66.47,47.87,47.27,45.47,73,69,68,70,72,33.0
249,Fortuna Düsseldorf,2019-2020,73.19,78.06,5500000.0,24937.5,24.56,182.56,76.88,2020.62,1.0,70.0,60.6,65.0,70.33,51.6,68.93,64.33,57.4,60.67,69.73,56.4,69.0,58.27,50.93,64.8,71.93,71.13,69.13,72.33,69.93,68.13,70.93,69.13,70.53,70.13,60.93,63.8,50.53,59.87,62.73,53.47,66.0,49.67,51.8,49.13,76,72,74,73,84,53.0
250,Frosinone Calcio,2018-2019,72.62,74.44,4206250.0,12125.0,26.44,183.88,78.75,2020.12,1.25,65.33,53.13,56.73,64.27,55.93,70.8,48.8,47.73,65.93,65.73,44.27,62.13,48.33,46.13,58.87,67.27,65.27,65.47,65.27,68.87,62.47,64.4,73.8,68.47,73.0,55.93,67.2,56.53,53.27,51.6,52.8,68.07,54.47,54.8,52.4,80,76,68,77,81,43.0
251,Girondins Bordeaux,2017-2018,75.06,80.19,8031250.0,35312.5,23.69,179.75,76.62,2020.31,1.5,69.67,62.0,66.6,72.8,52.2,68.73,64.87,61.33,62.87,72.73,58.53,72.33,59.6,53.47,62.47,73.8,69.87,69.6,71.67,73.6,69.73,67.4,66.0,73.33,67.87,58.6,66.47,52.4,69.2,65.47,58.67,70.2,49.6,51.8,48.8,82,80,78,82,84,51.0
252,Girondins Bordeaux,2018-2019,74.31,78.94,6387500.0,28687.5,24.31,180.94,78.75,2021.0,1.38,70.53,57.27,63.4,69.73,59.0,70.4,59.13,56.33,66.2,70.67,54.27,68.93,54.33,50.2,61.93,71.07,69.73,71.2,70.47,71.87,66.13,63.6,70.93,73.13,69.0,52.47,70.33,59.6,63.93,60.93,55.47,68.6,57.0,59.0,55.8,80,76,77,77,78,51.0
253,Girondins Bordeaux,2019-2020,75.5,77.81,7068750.0,27375.0,27.0,181.94,77.88,2021.44,1.62,66.07,58.47,65.33,69.67,61.33,70.6,61.73,56.73,68.6,72.13,54.87,69.2,58.8,55.53,63.93,70.47,64.87,66.87,69.47,72.53,66.73,64.8,70.47,71.53,69.8,56.8,71.67,61.8,62.13,62.07,55.87,71.47,58.6,62.0,59.33,81,77,79,79,80,51.0
254,Girondins Bordeaux,2020-2021,74.69,77.62,6268750.0,25187.5,26.31,182.75,77.81,2022.38,1.5,67.27,56.2,65.6,70.33,60.0,69.6,62.67,52.93,67.73,72.2,52.4,70.33,58.87,54.53,64.47,71.8,65.33,68.87,69.07,72.4,66.2,62.13,72.07,72.0,69.2,57.27,66.53,59.73,61.93,63.0,53.93,71.13,59.13,58.87,57.67,78,77,77,78,80,49.0
255,Girondins Bordeaux,2021-2022,73.69,78.06,5637500.0,18562.5,24.62,181.19,76.31,2022.75,1.31,71.47,61.0,65.93,72.33,55.33,67.0,63.8,59.6,64.13,71.07,54.53,72.87,59.8,54.13,64.6,73.53,71.0,71.93,70.87,71.2,67.6,66.73,67.4,72.4,65.53,59.4,63.53,54.47,66.2,64.87,56.33,69.73,54.33,55.07,51.13,78,77,77,78,80,49.0
